SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
Mistletoe (1884),,J W Elwell & Co,Bark,1875,"Youngs Cove, NS",2/6/1884,1884,2,6,Shark River Inlet S 100 yds,,,Stranded,,England,164,34.5,19.7,821,,"St John, NB, Canada ","Liverpool, England","New York, NY",Quigley,14,,0,"$35,000",,In balllast,Spring Lake & Shark River,N,N,N,#72227; Refloated
Nellie Floyd,,,Schooner,1879,"Port Jefferson, NY",2/6/1884,1884,2,6,Highlands SSE 18 mi,,,"Collision w/ ""Royal Arch"" in fog",,,136,33,15.4,457.6,434.72,"New York, NY","Georgetown, SC","New York, NY",,,,1,,,Naval stores and cotton,,N,N,N,#130144; Partial loss; made port
Northern Light (1884),,,Schooner,1874,"Cold Spring, NJ",9/9/1884,1884,9,9,Turtle Gut Inlet North bar,,,Stranded,,,47,15,3,18.69,17.76,"Cape May, NJ","Philadelphia, PA","Holly Beach, NJ",Barnett,2,,0,"$1,500",$88,Coal,,N,N,N,#130059; Refloated
Oregon SS (1884),,Cunard SS Line,Passenger liner,1883,"Glasgow, Scotland",4/19/1884,1884,4,19,Sandy Hook LSS NE 2 mi,,,Stranded,Steel,,520,54,40.75,7375,,"New York, NY","Liverpool, England","New York, NY",Price,295,418,0,"$1,500,000","$500,000","Passengers, general cargo, mail",Sandy Hook,N,N,Y,#87887; Refloated w/ no assistance
R A McGowan,,,Sloop,,,3/11/1884,1884,3,11,Hereford Inlet; Gull bar,,,Grounded,,,40.1,14.2,4.4,15.4,14.63,"Rio Grande, NJ","Chesapeake Bay, VA","Rio Grande, NJ",Cresse,3,,,$700,$200,Oysters,Hereford Inlet,,,N,#110160
Rachel Seaman,,C Seaman,Schooner,1861,"Philadelphia, PA",10/24/1884,1884,10,24,Cape May,,,"Collision w/ ""Harry Landell""",,,,,,320,,"Philadelphia, PA","Philadelphia, PA","New Haven, CT",Seaman,,,,,,,,N,N,N,"#21516; Towed in by ""Tecumseh"""
Rebecca M Smith (1884),,Jeremiah Smith & Co,Schooner,1872,"Camden, NJ",12/24/1884,1884,12,24,Sandy Hook S 25 mi,,,Damaged in storm,Wood,US,116.3,31.4,9.3,318.26,302.35,"Philadelphia, PA",,,W T Grace,,,,,,,,N,N,N,#110040; Lost sails
Rhodella Blew (1884),,,Schooner,1859,"Mauricetown, NJ",3/26/1884,1884,3,26,Cape May LSS E 3 mi,38.93242,-74.90422,Stranded in dense fog,,,,,,184.43,173.21,"New York, NY","New York, NY","York River, VA",B Lyman,6,0,0,"$5,000",$0,None,,A,Y,N ,#21501; Total loss; broke apart
Robert Morgan,,,Schooner 3 masted,1883,"Madison, CT",1/9/1884,1884,1,9,Absecon Beach,,,Stranded,,US,151.5,35,14.5,582.07,552.97,"New Haven, CT","Salem, MA","Philadelphia, PA",Crossley,9,0,0,"$40,000",,in ballast,Atlantic City,N,N,N,#110611; Refloated 6/11/1884
Roberts,,,Bark,,,1884,1884,,,Atlantic City,,,Foundered,,England,,,,,,,,,,,,,,,,,,,N,
Royal Arch,,G W Frost,Schooner 3 masted,1873,"East Boston, MA",2/6/1884,1884,2,6,Highlands SSE 18 mi,,,"Collision w/ ""Nellie Floyd""",Wood,US,132.2,32.2,10.5,422,,"Boston, MA","Wicasset, ME","Baltimore, MD",,,,,,,Ice,,N,N,N,#110108; Towed to New York
Saddle Rock,,,Sloop,,,11/5/1884,1884,11,5,Sandy Hook LSS W .75 mi,,,Dismasted in collision; Stranded,,,36.5,13.5,3.4,10,8.64,"Patchogue, NY","Keyport, NJ","Spermaceti Cove, NJ",Warren,2,,0,$450,,,Sandy Hook,N,N,N,#23989; Refloated
Theresa,,T H Bardman & Co,Schooner,1874,"Noank, CT",12/9/1884,1884,12,9,Barnegat,,,Damaged in gale,,,117,27,10,215,,"Newburyport, MA",Port de Paix,"New York, NY",F A Janvrin,,,,,,,,N,N,N,#145016
Two Sisters (1884),,,Schooner,1866,"Petersburg, NJ",4/4/1884,1884,4,4,Corsons Inlet bar,,,Stranded,,,50.4,19,4.4,26.48,25.16,"Somers Point, NJ","Hog Island, PA","Corsons Inlet, NJ",Yates,3,,0,"$1,600",$250,Oysters,,N,N,N,#24208; Refloated
Vapor (1884),,L H Hopkins,Schooner,1854,"Black Rock, CT",5/14/1884,1884,5,14,Barnegat,,,"Collision w/ ""John D Paige"" in fog",Wood,,113.4,30.2,10.4,242,,"New York, NY","Brunswick, GA","New York, NY",Haley,,,,,,,,,,N,#25634
Vienna ,,Edwin Foster,Sloop,1867,"Deep River, CT",3/16/1884,1884,3,16,Little Beach LSS ENE 3 mi,39.47132,-74.26790,"Struck wreckage of ""Makfield""",,,39,18,5,"21,15",20.09,"Onancock, VA","Hog Island, VA","Little Egg Harbor, NJ",Thomas Stiles,6,,0,"$1,000",$250,Oysters,Little Beach,A,,N,#25613
Wallace M French,,,Schooner,1867,"Bass River, NJ",1/13/1884,1884,1,13,Forked River LSS S 2 mi,39.77451,-74.09521,Stranded,,,44,17,4,23,22.03,"Somers Point, NJ","New York, NY","Atlantic City, NJ",Risley,3,,0,"$1,000",,In ballast,"Forked River, NJ",A,Y,N,#26851; Refloated
Washington (1884),,,Pilot boat,1846,"Newburgh, NY",7/31/1884,1884,7,31,Sandy Hook ENE 3 mi,,,"Collision w/ ""Roma""",,US,,,,41.12,39.07,"New York, NY","New York, NY",Pilot service,Schuler,,,1,,,None,,Y,Y,N,#26413;  Total loss
William Spicer,,,Steamship,,,3/11/1884,1884,3,11,Great Egg Inlet North bar,,,Stranded in rough seas,,,,,,44,,"Mystic, CT","New London, CT","Great Egg Harbor, NJ",Valiant,2,0,0,"$5,000",$150,44 ton Coal,"Ocean City, South Atlantic City, Gret Egg",Y,Y,N,#80422; Total loss
William Tice,,,Schooner,1866,"Camden, NJ",5/17/1884,1884,5,17,Absecon Inlet North shoal,39.37018,-74.39822,Stranded,,,,,,191.25,,"Boston, MA","Atlantic City, NJ","Philadelphia, PA",Pattison,5,,0,"$6,000",,In ballast,Atlantic City,N,N,N,#26601; Refloated
Ariel Patterson,,,Pilot boat,1864,"Brooklyn, NY",3/4/1883,1883,3,4,Seabright E 1 mi,,,"Collision w/ ""Commonwealth""",,US,,,,53.31,,"New York, NY","New York, NY","Sea Bright, NJ",John Campbell,,,1,,,None,,Y,Y,N,#711; Total loss
Aries (1883),,H Winson & Co,Steamship,1862,,8/26/1883,1883,8,26,Sandy Hook,,,Broke prop shaft,Iron,US,198,27.6,15.9,832,,"Boston, MA","Fall River, MA","Philadelphia, PA",William Loveland,,,,,,General,,,,N,
Artisa,,,Sloop,,,5/25/1883,1883,5,25,Barnegat Inlet,,,Dismasted in storm,,,,,,,,,"New York, NY","Silverton, NJ",,,,,,,,,N,N,N,Anchored; Later repaired
Benjamin Gartside,,,Schooner,1869,,11/12/1883,1883,11,12,Barnegat,,,Storm (Proceeded),Wood,US,,,,343,326,"Philadelphia, PA","Boston, MA","Savannah, GA",,,,1,,,,,,,N,
Blanche Hopkins (1883),,William Irelan,Schooner,1880,"Coopers Point, NJ",11/4/1883,1883,11,4,Five Fathom Bank Lightship SE 8 mi,,,"Collision w/ ""New York""",Wood,US,152.5,36.4,16.4,634.54,602.81,"Philadelphia, PA","Bedford, MA","Philadelphia, PA",Pedrick,9,,0,"$40,000", ,In ballast,,N,N,N,#3136; Towed to New York
Bounding Billow,,,Schooner,1860,"Essex, MA",4/3/1883,1883,4,3,Sandy Hook LSS NW 1.25 mi,,,Stranded,,,68,19,7,57.18,54.32,"Gloucester, MA","Gloucester, MA",Fishing service,Noble,14,,0,"$7,000",,,Sandy Hook,N,N,N,#2195; Refloated
Carrie Purington,,Purington et al,Brig,1870,"Topsham, ME",2/12/1883,1883,2,12,Barnegat N 20 mi,,,Lost the deck cargo,,,117.3,28.3,13.3,336,,"Bath, ME","Port au Prince, Haiti","Boston, MA",,,,,,,Logwood,,N,N,N,#5805
Charles Lawrence,,D S Stetson,Schooner 3 masted,1874,"Mays Landing, NJ",2/28/1883,1883,2,28,Barnegat,,,"Collision w/ ""Alps""",,,130,33,14,436,,"Mays Landing, NJ","New York, NY","Philadelphia, PA",J R Somers,,,,,,,,N,N,N,#125232; Returned to New York
City of Richmond,,Imman SS Co,Steamship,1873,"Glasgow, Scotland",2/16/1883,1883,2,16,Sandy Hook LSS SE 1.75 mi,,,Stranded in fog,Iron,England,440.8,43.5,34.1,4780,2957,"Liverpool, England","Liverpool, England","New York, NY",Condron,425,,0,"$700,000","$180,000",General,Sandy Hook & Spermaceti Cove,N,N,N,#69286; Refloated
Columbia #8 (031883),,,Pilot schooner,1879,,3/24/1883,1883,3,24,Sandy Hook SE 45 mi,,,"Collision w/ ""Rotterdam""",,,,,,,,,,Pilot service,,,,,"$16,000",,,,N,N,N,Partial damage
Columbia #8 (121883),,,Pilot schooner,1879,,12/2/1883,1883,12,2,Sandy Hook,,,"Collision w/ ""Alaska""",,,,,,,,,,Pilot service,,10,,10,"$16,000",,,,Y,Y,N,Sank
Commonwealth (1883),,George J Mercer,Steamship,1880,,3/4/1883,1883,3,4,Seabright E 1 mi,,,"Collision w/ ""Ariel Patterson""",Wood,US,,,,299.28,197.47,"Philadelphia, PA","Philadelphia, PA","New York, NY",Thomas J Van Kirk,11,,0,"$20,000","$10,000",200 ton General merchandise,,,,N,"#125792; Assisted crew of ""Ariel Patterson"""
D M Anthony (1883),,,Schooner,1873,"Fall River, MA",11/13/1883,1883,11,13,Hereford Inlet North bar,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Taunton, MA","Boston, MA","Philadelphia, PA",Moore,7,,0,"$25,000","$5,000",General,Hereford Inlet #36,N,N,N,#6798; Refloated
E B Fithian (1883),,C A Clemont,Schooner,1864,"Greenwich, NJ",11/28/1883,1883,11,28,Point Creek,,,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ","Port Republic, NJ","New York, NY",J B Higbee,3,,0,"$1,000",$500,Oysters,Little Egg Harbor,N,N,N,#8020; Refloated
Eliza S Potter (1883),,,Schooner,1857,"Mystic, CT",8/29/1883,1883,8,29,"Ludlams Beach, NJ",,,Stranded,,,,,,338,321.05,"Warren, RI","Port Royal, SC","New York, NY",,,,,,,Wood/rags,,,,N ,#7942
Enoch Robinson,,Samuel H Walker,Schooner 3 masted,1881,"Bath, ME",2/26/1883,1883,2,26,Sea Isle City E 9 mi,,,"Collision w/ ""Maggie J Smith""",,,148.3,35.2,15.2,574,,"Taunton, MA","Baltimore, MD","Providence, RI",Blake,,,,,,Coal,,Y,Y,N,#135479; Total loss; Crew saved
Enterprise (1883),,,Schooner,,,2/17/1883,1883,2,17,Absecon LSS SW 1.75 mi,39.33257,-74.48543,Grounded to prevent sinking,,,,,,22,,"Chincoteague, VA","Chincoteague, VA","New York, NY",Jones,3,,0,"$1,000",$385,Oysters,Absecon # 28,A,Y,N ,Total loss
Ephriam & Anna,,Jonathan E Reinhardt,Schooner,1853,"Wilmington, DE",6/11/1883,1883,6,11,Barnegat SE 30 mi,,,Abandoned; leaking,Wood,,,,,216.69,205.86,"Philadelphia, PA","Richmond, VA","Boston, MA",Samuel Harvey,6,,0,"$2,000","$1,400",317 ton coal,,N,N,N,#7873; Towed in
Fannie A Baily,,,Schooner,1864,"Portsmouth, NH",6/4/1883,1883,6,4,Hereford Inlet,,,Grounded in thick fog,Wood,,108.5,27.5,9.8,272,258.46,"Portland, ME","Windsor, NS","Philadelphia, PA",M Hume Jr,9,,4,"$8,000","$2,500",Plaster,Hereford,Y,Y,N,#9514; Total Loss; Capt's son among lost
Francis (1883),,,Schooner,,,7/20/1883,1883,7,20,Five Fathom Bank Lightship E 5 mi,,,Sank,,,,,,,,"Montreal, Canada","Mayaguez, PR","New York, NY",Auberley,,,,,,Molasses,,Y,Y,N,"Crew landed at Lewes, DE"
Fred E Scammell,,Scammell Bros,,1880,"Eatonville, Nova Scotia",1/18/1883,1883,1,18,Brigantine Shoal E 3 mi,,,Stranded,,England,195,39,22.5,1350,,"Parrsboro, NS","Antwerp, Belgium","New York, NY",Anderson,,17,0,"$70,000","$30,000",Iron & empty barrels,Brigantine,N,N,N,"#80366; Refloated; Damage ~$25,000"
George Lewmon,,,Schooner,1881,"Onancock, VA",4/23/1883,1883,4,23,Deal LSS N .25 mi,40.23121,-73.99625,Dismasted in gale,,US,73,22,5,49,46.66,"Onancock, VA","Potomac River, VA","Keyport, NJ",Russell R Stump,5,0,0,"$6,000",$570,Oysters,Deal,A,Y,N,#85680; Total loss
George White (1883),,,Schooner,1871,"Barnegat, NJ",10/17/1883,1883,10,17,Barnegat LSS NNE 1 mi,,,Stranded,,,,,,42.27,,"Tuckerton, NJ","Barnegat, NJ",Virginia,Conklin,3,0,0,"$1,500",,None,Barnegat,N,N,N,#85170; Refloated
Gulnare,,Robert Boyd,Steamship,1867,"Glasgow, Scotland",5/11/1883,1883,5,11,Long Beach LSS S 9.75 mi,,,Stranded,,England,125,16.1,11.2,144,,"Kingston, Jamaica","New York, NY","Port Antonio, Jamaica",Gunther,16,0,0,"$7,000",$0,None (in ballast),Long Beach #21,N,N,N,#57023; Refloated
H L James (1883),,,Schooner,1879,"Dorchester Cty, MD",12/11/1883,1883,12,11,Little Egg LSS E 1 mi,,,Grounded,,US,,,,115.51,109.73,"Baltimore, MD","Philadelphia, PA","Beach Haven, NJ",Applegate,6,,0,"$5,000","$2,100",Lumber,Little Egg #23,N,N,N,#95377; Refloated
Henry J Raymond,H J Raymond,John Van Buskirk,Schooner,1864,"Newburgh, NY",5/31/1883,1883,5,31,Shark River LSS N 1.5 mi,,,Stranded,Wood,US,113,29.5,9,190.38,180.87,"New York, NY","New York, NY",Virginia,Cranmer,6,,0,"$8,000",,In ballast,Shark River,N,N,N,#11797; Refloated
Hornet (1883),,,Schooner,,,9/5/1883,1883,9,5,Cape May LSS E 1 mi,38.93105,-74.94125,Stranded,,,,,,19.45,18.48,"Philadelphia, PA",Delaware Breakwater,Fishing Banks,Schellenger,0,,,"$1,000", ,,Cape May LSS,A,Y,N ,#111325; Total loss
J Nickerson,,Robert Given,Schooner,1879,"Brunswick, ME",5/9/1883,1883,5,9,Five Fathom Bank SSE 40 mi,,,"Collision w/ ""S Conant""",,,98,26,9.5,180,,"Portland, ME","Baracoa, Cuba","New York, NY",Farr,,,,,,,,N,N,N,Made New York for repairs
James Jones,,William Tilton,Schooner,1858,"Bass River, NJ",10/31/1883,1883,10,31,Barnegat Shoal,,,Stranded,Wood,US,109,29.6,9.6,253,,"Perth Amboy, NJ","Philadelphia, PA","Somerset, MA",Townsend,6,,0,"$5,000","$1,000",Coal,Barnegat & Forked River,Y,Y,N,#13351; Total loss
John Anna (1883),,,Schooner,1866,"Somers Point, NJ",9/17/1883,1883,9,17,Corsons Inlet bar,,,Stranded,,,52.5,18.7,4.5,29.36,27.89,"Somers Point, NJ","New York, NY","Corsons Inlet, NJ",,3,1,0,"$2,000",$500,Lime,,N,N,N,#12906; Refloated
John B Connor,,J B Connor,Schooner,1868,"Magnolia, DE",9/18/1883,1883,9,18,Barnegat Inlet South Jetty,,,Grounded,Wood,,,,,58,,"Magnolia, DE",,,S Blaxon,,,,,,Stone,,N,N,N,#75187; Refloated
John Mosser (1883),,Abrams et al,Schooner,1866,"Islip, NY",2/17/1883,1883,2,17,Hereford Inlet E 1 mi,,,Stranded in fog,Wood,,82.3,25,7.2,93,,"New York, NY","Rappahannock, VA","New York, NY",Curtis,6,,0,"$4,000","$3,500",Oysters,,Y,Y,N,#13200; Total loss; Compass failure
Kate Becker,,,Sloop,1875,"West Creek, NJ",12/15/1883,1883,12,15,Absecon Inlet North shoal,,,Stranded,,,35.7,12.5,3.2,7.31,6.94,"Somers Point, NJ","New York, NY","Absecon, NJ",Blackman,2,,0,$700,$100,Potatoes,,N,N,N,#14430; Refloated
Kate E Gifford,,R H Williams,Schooner,1874,"Mays Landing, NJ",12/28/1883,1883,12,28,Sandy Hook NW 1 mi,,,Stranded,,,126.5,32.8,9.6,419.86,398.87,"Somers Point, NJ","Baltimore, MD","Bridgeport, CT",T H Wright,7,,0,"$12,000","$2,500",577 ton coal,Sandy Hook,N,N,N,#143154; Refloated
Kit Carson,,J & L N Paine,Schooner,1860,"Essex, MA",4/4/1883,1883,4,4,Little Egg Harbor,`,,"Collision w/ ""Manhattan""",,US,81,23.4,8,94,,"Provincetown, MA","Pawtuxet River, MD","Boston, MA",Rich,,,2,,,Oysters,,Y,Y,N,Total loss
Laura Brigman,,,Schooner,1866,"Waldoboro, ME",6/19/1883,1883,6,19,Asbury Park,,,Stranded in fog,,,117,31,11,330,,"St George, ME","Baltimore, MD","Fall River, MA",Hart,7,,0,"$8,000","$1,500",Gas coal,,Y,Y,Y,#15151; Total loss
Lidie Jones (1883),,,Sloop,1869,"Tuckerton, NJ",11/14/1883,1883,11,14,Hereford Inlet North bar,,,Stranded,Wood,US,37.4,15.2,3.8,12.37,11.75,"Somers Point, NJ","Great Egg Harbor, NJ","Hereford Inlet, NJ",Wright,2,,0,"$1,000",$0,In ballast,,N,N,N,#15134; Refloated
Lizzie Florence,,Sam Lippencott,Schooner,1870,,12/2/1883,1883,12,2,Gulf Stream,32.66666,-73.50000,,,,,,,,,,,,,,,,,,,,F,Y,N,#15659; Total loss
Lizzie Thompson,,G Burrell,Schooner,1867,"Amesbury, MA",4/16/1883,1883,4,16,Cape May Lightship,,,"Collision w/ ""Nacoochee""",Wood,US,75.6,25.3,7.5,71,,"Newburyport, MA",,,,16,,,,,,,Y,Y,N,#14864; Total loss
Lulu Ammerman,,,Schooner,1874,"Forked River, NJ",11/4/1883,1883,11,4,Forked River LSS E 1.25 mi,,,Stranded,,,124,34,11.2,300,285.16,"Perth Amboy, NJ","New York, NY","Baltimore, MD",Rulon,7,,0,"$10,000",,In ballast,,N,N,N,#140066; Refloated
M B Mahoney,,,Schooner,1853,"Wilmington, DE",9/26/1883,1883,9,26,Brigantine Shoal,,,Stranded,,,84.5,25.2,8.5,123,116.83,"Castine, ME","Bangor, ME","Philadelphia, PA",L Perkins,4,1,0,"$2,500","$1,800",Lumber,,N,N,N,#16269; Refloated
Mabel Thomas (1883),,Bentley et al,Schooner 3 masted,1874,"New Haven, CT",1/10/1883,1883,1,10,Shark River N .75 mi,,,Stranded,Wood,US,148,32.7,11.7,335.95,219.15,"New Haven, CT","Newburyport, MA","Baltimore, MD",James McKenzie,7,,0,"$10,000",,,Shark River #13,Y,Y,Y,#90564; Total loss; Later refloated
Margaret A Amelia (1883),,,Schooner,1871,"Absecon, NJ",1/11/1883,1883,1,11,Barnegat Inlet,,,Grounded,Wood,,45.6,17.3,4.6,24,22.66,"Somers Point, NJ","Haverstraw, NY","Atlantic City, NJ",Reed,3,,0,,,,Barnegat #17,N,N,N,#17151; Refloated
Martha S Bement,,Jacob E Ridgeway,Schooner,1881,"Bath, ME",1/31/1883,1883,1,31,Squan Beach,,,Dismasted in storm,,,,,,455.48,,"Philadelphia, PA","Para, Brazil","New York, NY",J C Townsend,8,,0,"$30,000","$500,000","Rubber, etc",,N,N,N,#91359
Mary Queen of the Seas,,A Langellier,Schooner,1872,"Murray Bay, Canada",1/5/1883,1883,1,5,"Long Branch, NJ",,,"Collision w/ ""Sara E Kennedy""",,Canada,78.8,22.3,10.2,109,,"Quebec, Canada","Aspinwall, PA via Key West","New York, NY",A Langellier,,,,,,,,,,N,
Mary S Tibbits (1883),,,Schooner,1862,"Staten Island, NY",9/18/1883,1883,9,18,New Jersey coast,,,"Collision w/ ""Sarah Jane Vaughn""",Wood,US,97,27.9,8.2,151.23,143.67,"New York, NY",Virginia,"New York, NY",,5,,0,,,,,N,N,N,#16847; Damaged; Made way to Delaware Breakwater
Meta,Full Rigged Clipper,F Roters,Clipper ship,1854,"Damariscotta, ME",10/14/1883,1883,10,14,Bay Head LSS S 1.5 mi,40.04438,-74.04616,Stranded,Wood,Germany,204,42,28,1812,,"Bremerhaven, Germany","Bremerhaven, Germany","New York, NY",Frerichs,24,,0,"$25,000","$20,000",8000 empty barrels,,A,Y,Y,Total loss
Minnie Anna Bonsall,,Joseph Bonsall,Schooner 3 masted,1882,"Milton, DE",7/7/1883,1883,7,7,"Long Branch, NJ",,,Dismasted in collision,,,,,,459,,"Wilmington, DE","New York, NY","Port Royal, WI",Joseph Bonsall,,,1,,,"Machinery, brick & cement",,N,N,N,Partial loss
New York (1883),,Morgan Line SS Co,Steamship,1875,"Wilmington, DE",11/4/1883,1883,11,4,Five Fathom Bank Lightship SE 8 mi,,,"Collision w/ ""Blanche Hopkins""",Iron,US,281,38.1,20.2,2284,,"New York, NY","New Orleans, LA","New York, NY",R B Quick,,,0,,,Cotton Molasses,,N,N,N,"#130043; Rescued crew of ""Blanch Hopkins"""
Ocean Star (1883),,,Sloop,1875,"Absecon, NJ",8/21/1883,1883,8,21,Egg Harbor Inlet,,,Capsized,,,,,,13,,"Somers Point, NJ",,,,,,,,,,,Y,Y,N,#19443; Total loss
Parkfield,,W & Rwrights,Sailing ship,1872,"St Johns, NS",2/4/1883,1883,2,4,Little Egg Harbor S 2 mi,39.45833,-74.27222,Stranded in fog,,England,200.5,39.6,24,1379,,"Liverpool, England","Calcutta, India","New York, NY",Wm Anderson,24,,0,"$25,000","$120,000","Hides, linseed , Jute",Little Egg Harbor #23,A,Y,N,#69259; Total loss
Pottsville (1883),,Phil & Reading Rail Co,Steamship,1874,"Philadelphia, PA",1/9/1883,1883,1,9,Chadwick LSS S 1 mi,,,Stranded,Iron,US,248.4,37.1,18.3,1283,910.34,"Philadelphia, PA","Boston, MA","Philadelphia, PA",John Pierce,18,,0,"$100,000",,In ballast,Chadwick #12,N,N,N,#150000; Refloated 9 months later
R S Graham (1883),,Alex Harding,Schooner,1871,"Milford, DE",11/8/1883,1883,11,8,Cape May LSS S 1.5 mi,,,Stranded,,US,128.5,30.5,9.1,341.49,324.52,"Philadelphia, PA","New York, NY","Philadelphia, PA",L Smith,6,,0,"$15,000",,In ballast,Cape May #40,N,N,N,#100075; Refloated
Ranger (1883),,,Sloop,,,8/27/1883,1883,8,27,Cape May Point,,,Abandoned,,,,,,,,,,,,,,,,,,,,,N,
Rebecca M Smith (1883),,Jeremiah Smith & Co,Schooner,1872,"Camden, NJ",3/16/1883,1883,3,16,Hereford Inlet North bar,,,Stranded,Wood,US,116.3,31.4,9.3,318.26,302.35,"Philadelphia, PA","Boston, MA","Philadelphia, PA",W T Grace,,,,"$12,000",,None,Stone Harbor #35 & Hereford Inlet #36,N,N,N,#110040; Refloated
Rio Grande (1883),,,Sloop,,,1/16/1883,1883,1,16,Wreck Pond Inlet,,,Stranded,,,30,15,4,12.94,12.79,"Perth Amboy, NJ","Little Egg Harbor, NJ","New York, NY",J W Foster,4,0,0,"$1,000",$200,Clams,#8 and #9,N,N,N ,#21587; Refloated
Sarah E Kennedy,,John Zittlosen,Brig Half,1863,"Waldoboro, ME",1/5/1883,1883,1,5,"Long Branch, NJ",,,"Collision w/ ""Mary Queen of the Seas""",,US,119.5,28.7,16.9,392,,"New York, NY",,,,,,,,,,,,,N,#23255
Sarah Jane Vaughn,,James Vaughn,Schooner,1861,"Mays Landing, NJ",9/18/1883,1883,9,18,New Jersey coast,,,"Collision w/ ""Mary S Tibbitts""",Wood,,,,,216,,Mays Landing,,,John Vaughn,,,,,,Pine wood,,N,N,N,#22516; Lost foremast & Bowsprit
Selina W Bunnell,,,Schooner 3 masted,,,12/2/1883,1883,12,2,Townsends Inlet North bar,,,Grounded,,,,,,226.86,,"Waretown, NJ","New York, NY","Norfolk, VA",Maxwell,7,,0,"$6,000","$1,200",Hay,Townsends Inlet,Y,Y,N,#22949; Total loss
Seth W Smith,,James G Murchie,Schooner,1872,"Calais, ME",6/27/1883,1883,6,27,Five Fathom Bank E 6 mi,,,Dismasted in gale,Wood,US,114,28.2,9.6,198.1,,"Calais, ME","Newport News, VA","Portsmouth, NH",,,,,,,,Chatswick,N,N,N,#115160
Tuckahoe,,,Steamship,,,8/2/1883,1883,8,2,Absecon Inlet North shoal,,,Stranded,,,,,,299.7,,"Philadelphia, PA","New York, NY","Baltimore, MD",,,,,,,,Atlantic City,N,N,Y,#24928; Refloated
W S French,,,Schooner,,,9/3/1883,1883,9,3,Near Peter's Beach,,,Capsized,,,,,,,,"Bass River, NJ","Atlantic City, NJ","New Gretna, NJ",,12,,0,,,,,N,N,N,Refloated; partial loss
Addie Taylor,,,Schooner - yacht,,,10/15/1882,1882,10,15,Sandy Hook Point,,,Stranded; swamped,,,,,,,,"Jersey City, NJ","Jersey City, NJ",Pleasure cruise,Foulks,4,0,0,$300,,,Sandy Hook,Y,Y,N,Total loss
Alice Hearn,,W S Hudson,Schooner,1880,"Milton, DE",9/11/1882,1882,9,11,Sandy Hook,,,Heavy Gale,,US,,,,347.42,,"Philadelphia, PA","Baltimore, MD","Boston, MA",Reuben H Pennewill,,,,"$20,000","$2,200",Coal,,,,N,#105903
Annie L Palmer,,,Schooner,1874,"Bath, ME",3/13/1882,1882,3,13,Island Beach LSS N 1 mi,,,Stranded,,,87.6,25.2,8.5,119.2,113.24,"Bath, ME","Baracoa, Cuba","New York, NY",Lewis,6,,0,"$7,000",$900,Fruit,Island Beach #16,N,N,N ,#105422 Refloated
Antonio Mimbelli,,,Bark,,,9/22/1882,1882,9,22,Turtle Gut Inlet bar,,,Stranded,,Austria,,,,,,"Trieste, Austria","Dunkirk, France",Delaware Breakwater,Ostoich,14,,0,"$14,000",,in ballast,Turtle Gut #37,Y,Y,N,Total loss
Clara (1882),,,Steamship,1870,"New Brunswick, NJ",6/28/1882,1882,6,28,"Port Johnson, NJ",,,Collision,,US,,,,58.98,29.45,"Perth Amboy, NJ","New York, NY","Port Johnson, NJ",,,,1,,,In ballast,,N,N,N,#5866; Partial loss
Commonwealth (1882),,George J Mercer,Steamship,1880,,1/2/1882,1882,1,2,Sandy Hook,,,Disabled; engine trouble,Wood,US,,,,299.28,197.47,"Philadelphia, PA","Philadelphia, PA","New York, NY",Thomas J Van Kirk, ,,0,"$12,000","$10,000", ,Sandy Hook,N,N,N,#125792; Towed to NY
Elizabeth A Buehler,,James L Maloy Jr,Schooner 3 masted,1874,,12/27/1882,1882,12,27,Green Island LSS E 4.5 mi,39.98625,-73.97756,Struck sunken wreck in fog,Wood,,,,,491.39,,"Philadelphia, PA","Baltimore, MD","New York, NY",James L Maloy Jr,8,0,0,"$25,000","$2,824",807 ton coal,Green #5,A,,N,#135007
Factor,,,Sloop,,,5/1882,1882,5,,Cape May,,,"Lost anchor, cables & Windlass",,,,,,,,,,,Sheed,,,,,,,,,,N,
George W Clyde,,W P Clyde Co,Steamship,1872,"Philadelphia, PA",4/28/1882,1882,4,28,Sandy Hook Romer Shoal Stone Beacon,,,"Collision w/ ""Nankin""",Iron,US,254,35,19.6,1801,,"New York, NY","New York, NY","San Domingo, Dom Repub",James Holmes,,26,0,,,,,N,N,N,Partial loss; Later sank in 1896
